Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0805_2012Metric,85.275,-86.6,180.0,top
C10,100n,C_0805_2012Metric,84.025,-99.05,-90.0,top
C11,10u,C_0805_2012Metric,84.025,-105.8,90.0,top
C12,100n,C_0805_2012Metric,81.525,-105.8,-90.0,top
C13,10u,C_0805_2012Metric,80.475,-103.0,0.0,top
C14,100n,C_0805_2012Metric,76.525,-103.0,0.0,top
C2,1u,C_0805_2012Metric,44.85,-105.78,0.0,top
C3,100n,C_0805_2012Metric,117.8,-83.4,90.0,top
C4,100n,C_0805_2012Metric,44.95,-108.2,180.0,top
C5,100n,C_0805_2012Metric,115.075,-89.0,0.0,top
C6,100n,C_0805_2012Metric,76.875,-87.6,0.0,top
C7,100n,C_0805_2012Metric,111.075,-89.0,0.0,top
C8,1u,C_0805_2012Metric,105.025,-106.45,90.0,top
C9,10u,C_0805_2012Metric,84.025,-102.2,-90.0,top
D1,BAV99,SOT-23,121.0875,-83.5,0.0,top
D2,BAV99,SOT-23,115.025,-92.0625,-90.0,top
D3,BAV99,SOT-23,111.025,-92.0625,90.0,top
D4,GRN,LED_0805_2012Metric,53.7225,-82.6875,90.0,top
D5,RED,LED_0805_2012Metric,49.1075,-82.6875,90.0,top
D6,YLW,LED_0805_2012Metric,58.3375,-82.6875,90.0,top
D7,D_TVS,D_SMA,113.525,-101.5,0.0,top
D8,5.2V,D_SOD-123,82.825,-108.8,180.0,top
D9,BAV99,SOT-23,96.325,-85.9375,90.0,top
F1,Polyfuse,Fuse_1812_4532Metric,127.6625,-106.5,0.0,top
F2,Polyfuse,Fuse_1812_4532Metric,121.025,-106.5,180.0,top
J1,8P8C,RJ45_Amphenol_54602-x08_Horizontal,124.755,-94.8375,90.0,top
J2,1x6,PinHeader_1x06_P2.54mm_Vertical,51.65,-98.5,90.0,bottom
Q1,Si2309CDS,SOT-23,112.0875,-106.5,0.0,top
Q2,Si2309CDS,SOT-23,108.0875,-106.5,0.0,top
R1,10K,R_0805_2012Metric,60.8,-82.6875,-90.0,top
R10,1K,R_0805_2012Metric,70.5125,-90.4,0.0,top
R11,1K,R_0805_2012Metric,70.5125,-93.35,0.0,top
R12,1K,R_0805_2012Metric,70.5125,-96.3,0.0,top
R13,1K,R_0805_2012Metric,70.5125,-99.25,0.0,top
R14,10K,R_0805_2012Metric,85.2375,-84.2,180.0,top
R15,10K,R_0805_2012Metric,73.6,-87.4,-90.0,top
R16,10K,R_0805_2012Metric,77.0125,-93.8,0.0,top
R17,10K,R_0805_2012Metric,85.4375,-94.2,180.0,top
R18,220k,R_0805_2012Metric,100.125,-86.2875,-90.0,top
R19,10K,R_0805_2012Metric,94.0375,-82.6,180.0,top
R2,10K,R_0805_2012Metric,56.6,-107.3125,90.0,top
R20,10K,R_0805_2012Metric,81.325,-95.0875,-90.0,top
R21,220k,R_0805_2012Metric,90.725,-92.3125,90.0,top
R22,4K7,R_0805_2012Metric,99.0125,-82.8,0.0,top
R23,1K,R_0805_2012Metric,103.6125,-82.8,0.0,top
R24,1K,R_0805_2012Metric,103.6125,-85.75,0.0,top
R25,1K,R_0805_2012Metric,103.6125,-89.8,0.0,top
R3,10K,R_0805_2012Metric,59.0,-107.2875,-90.0,top
R4,220,R_0805_2012Metric,44.6,-82.7125,90.0,top
R5,10K,R_0805_2012Metric,46.8,-82.7125,90.0,top
R6,220,R_0805_2012Metric,51.415,-82.6875,90.0,top
R7,220,R_0805_2012Metric,56.03,-82.6875,-90.0,top
R9,1M,R_0805_2012Metric,107.9375,-101.5,180.0,top
SW1,SW_Push,SW_Push_1P1T_XKB_TS-1187A,67.0,-85.5,0.0,top
SW2,SW_Push,SW_Push_1P1T_XKB_TS-1187A,67.0,-104.5,0.0,top
U1,APX803L20-29SA-7,SOT-23,50.65,-107.2625,90.0,top
U2,ESP32-C3-WROOM-02,ESP32-C3-WROOM-02,49.7,-94.86,90.0,top
U3,L7805,TO-263-2,93.8,-103.96,0.0,top
U4,74LVC2G07,SOT-23-6,85.3875,-90.55,0.0,top
U5,74LVC2G07_3v3,SOT-23-6,76.8875,-90.55,0.0,top
U6,AP2205-3.3,SOT-89-3,76.825,-107.0,180.0,top
